TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
TUUBBA   	   21/112   Universität Tübingen, Fakultät für Biologie, Bibliothek                                                 aktiv          2
TUUBCF   	   21/116   Universität Tübingen, Zentrum für Molekularbiologie der Pflanzen, Forschungsgruppe                                     2
         	            Pflanzenbiochemie                                                                                       zdb
TUUBEC   	   21/31    Universität Tübingen, Evangelisch-theologische Fakultät                                                 aktiv          2
TUUBGC   	   21/32a   Universität Tübingen, Historisches Seminar, Abteilung für Alte Geschichte                               aktiv          2
TUUBGD   	   21/32b   Universität Tübingen, Historisches Seminar, Abteilung für Mittelalterliche Geschichte                   aktiv          2
TUUBGE   	   21/32c   Universität Tübingen, Historisches Seminar, Abteilung für Neuere Geschichte                             aktiv          2
TUUBGF   	   21/106   Universität Tübingen, Seminar für Zeitgeschichte                                                        aktiv          2
TUUBGG   	   21/62    Universität Tübingen, Institut für Osteuropäische Geschichte und Landeskunde                            aktiv          2
TUUBGH   	   21/64    Universität Tübingen, Institut für Geschichtliche Landeskunde und Historische Hilfswissenschaften       aktiv          2
TUUBJK   	   21/124   Universität Tübingen, Instiut f. Medizinische Virologie und Epidemiologie d. Viruskrankheiten           zdb            2
TUUBKC   	   21/35    Universität Tübingen, Katholisch-theologische Fakultät                                                  aktiv          2
TUUBLA   	   21/123   Universität Tübingen, Medizinbibliothek                                                                 aktiv          2
TUUBLC   	   21/4     Universität Tübingen, Universitäts-Augenklinik                                                          zdb            2
TUUBLE   	   21/117   Universität Tübingen, Institut für Medizinische Informationsverarbeitung                                zdb            2
TUUBLF   	   21/74    Universität Tübingen, Zentrum für Informations-Technologie                                              zdb            2
TUUBLG   	   21/20    Universität Tübingen, Frauenklinik                                                                      zdb            2
TUUBLH   	   21/21    Universität Tübingen, Universitäts-Hals-Nasen-Ohrenklinik, Bibliothek                                   aktiv          2
TUUBLI   	   21/18    Universität Tübingen, Universitäts-Hautklinik                                                           zdb            2
TUUBLO   	   21/1     Universität Tübingen, Klinik für Psychiatrie und Psychotherapie                                         aktiv          2
TUUBLS   	   21/54    Universität Tübingen, Universitätsklinik für Zahn-, Mund- und Kieferheilkunde                           aktiv          2
TUUBMA   	   21/39    Universität Tübingen, Fachbibliothek Mathematik und Physik / Bereich Mathematik                         aktiv          2
TUUBMM   	   21/126   Universität Tübingen, Institut für Medizinische Mikrobiologie und Hygiene                               zdb            2
TUUBNP   	   21/108   Universität Tübingen, Fakultätsbibliothek Neuphilologie                                                 aktiv          2
TUUBOD   	   21/17    Universität Tübingen, Geographisches Institut                                                           aktiv          2
TUUBOE   	   21/10    Universitätsbibliothek Tübingen, Bereichsbibliothek Geowissenschaften                                   aktiv          2
TUUBOF   	   21/99    Universität Tübingen, Institut für Ur- und Frühgeschichte und Archäologie des Mittelalters, Abteilung   aktiv          2
         	            für Ältere Urgeschichte und Quartärökologie
TUUBPA   	   21/46    Universität Tübingen, Philosophisches Seminar                                                           aktiv          2
TUUBRC   	   21/24    Universität Tübingen, Juristisches Seminar                                                              aktiv          2
TUUBRE   	   21/110   Universität Tübingen, Institut für Kriminologie                                                         aktiv          2
TUUBSC   	   21/43    Universität Tübingen, Institut für Erziehungswissenschaft                                               aktiv          2

TUUBSF   	   21/37    Universität Tübingen, Institut für Sportwissenschaft                                                    aktiv          2
TUUBSG   	   21/51    Universität Tübingen, Psychologisches Institut                                                          aktiv          2
TUUBSH   	   21/58    Universität Tübingen, Institut für Politikwissenschaft                                                  aktiv          2
TUUBSI   	   21/85    Universität Tübingen, Institut für Soziologie                                                           aktiv          2
TUUBSK   	   21/52    Universität Tübingen, Ludwig-Uhland-Institut für Empirische Kulturwissenschaft                          aktiv          2
TUUBTC   	   21/26    Universität Tübingen, Anatomisches Institut                                                             zdb            2
TUUBTD   	   21/27    Universität Tübingen, Institut für Anthropologie und Humangenetik                                       zdb            2
